t # 0
v 0 0
v 1 1
v 2 2
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 3
v 12 0
v 13 4
v 14 5
v 15 6
v 16 2
v 17 2
v 18 6
v 19 6
v 20 6
v 21 7
v 22 6
v 23 6
v 24 5
v 25 6
v 26 6
v 27 6
v 28 1
v 29 8
v 30 7
v 31 5
v 32 1
v 33 1
v 34 6
v 35 1
v 36 9
v 37 7
e 0 11 0
e 0 14 0
e 0 37 0
e 0 28 0
e 0 13 0
e 0 30 0
e 0 32 0
e 1 11 0
e 1 14 0
e 1 37 0
e 1 36 0
e 1 30 0
e 1 28 0
e 1 32 0
e 2 11 0
e 2 33 0
e 2 28 0
e 2 31 0
e 2 34 0
e 2 21 0
e 2 19 0
e 2 5 0
e 3 10 0
e 3 6 0
e 3 7 0
e 4 12 0
e 4 8 0
e 4 9 0
e 5 11 0
e 5 34 0
e 5 33 0
e 5 28 0
e 5 31 0
e 5 21 0
e 5 19 0
e 6 11 0
e 7 10 0
e 8 11 0
e 9 12 0
e 11 28 0
e 11 30 0
e 11 29 0
e 11 34 0
e 11 33 0
e 11 13 0
e 11 14 0
e 11 15 0
e 11 24 0
e 11 27 0
e 11 16 0
e 11 17 0
e 11 35 0
e 11 37 0
e 11 18 0
e 11 26 0
e 11 31 0
e 11 19 0
e 11 36 0
e 11 20 0
e 11 21 0
e 11 32 0
e 11 22 0
e 11 25 0
e 11 23 0
e 13 28 0
e 13 35 0
e 14 28 0
e 14 37 0
e 14 35 0
e 14 36 0
e 14 30 0
e 14 32 0
e 15 24 0
e 16 25 0
e 17 29 0
e 17 26 0
e 19 33 0
e 19 28 0
e 19 27 0
e 19 31 0
e 21 33 0
e 21 28 0
e 21 31 0
e 21 34 0
e 22 34 0
e 23 34 0
e 26 29 0
e 28 35 0
e 28 30 0
e 28 33 0
e 28 37 0
e 28 36 0
e 28 34 0
e 28 31 0
e 28 32 0
e 30 37 0
e 31 33 0
e 31 34 0
e 32 37 0
e 33 35 0
e 35 37 0
e 35 36 0
e 36 37 0
t # 1
v 0 0
v 1 10
v 2 11
v 3 0
v 4 0
v 5 0
v 6 0
v 7 11
v 8 2
v 9 5
v 10 0
v 11 4
v 12 12
v 13 2
v 14 13
v 15 11
v 16 14
v 17 13
v 18 15
v 19 0
v 20 13
v 21 13
v 22 1
v 23 0
v 24 0
v 25 2
v 26 10
v 27 0
v 28 0
v 29 0
v 30 2
v 31 6
v 32 16
v 33 2
v 34 17
v 35 0
v 36 6
v 37 4
v 38 13
v 39 0
v 40 0
v 41 0
v 42 0
v 43 2
v 44 10
v 45 2
v 46 0
v 47 0
v 48 18
v 49 11
v 50 2
v 51 2
v 52 0
v 53 13
v 54 13
v 55 11
v 56 4
v 57 2
v 58 0
v 59 2
v 60 2
v 61 0
v 62 14
v 63 13
v 64 12
v 65 2
v 66 12
v 67 2
v 68 0
v 69 1
v 70 13
v 71 0
v 72 0
v 73 0
v 74 0
v 75 4
v 76 3
v 77 1
v 78 4
v 79 0
v 80 2
v 81 2
v 82 19
v 83 13
v 84 13
v 85 2
v 86 6
v 87 0
v 88 0
v 89 6
v 90 13
v 91 12
v 92 0
v 93 0
v 94 13
v 95 14
v 96 6
v 97 15
v 98 6
v 99 2
v 100 6
v 101 6
v 102 16
v 103 0
v 104 2
v 105 6
v 106 0
v 107 6
v 108 6
v 109 13
v 110 0
v 111 0
v 112 13
v 113 0
v 114 17
v 115 15
v 116 14
v 117 0
v 118 8
v 119 4
v 120 2
v 121 13
v 122 4
v 123 15
v 124 15
v 125 6
v 126 13
v 127 0
v 128 0
v 129 1
v 130 18
v 131 2
v 132 16
v 133 4
v 134 6
v 135 17
v 136 6
v 137 0
v 138 0
v 139 13
v 140 18
v 141 10
v 142 20
v 143 6
v 144 21
v 145 0
v 146 22
v 147 8
v 148 0
v 149 2
v 150 6
v 151 13
v 152 23
v 153 24
v 154 21
v 155 0
v 156 5
v 157 5
v 158 0
v 159 2
v 160 13
v 161 13
v 162 1
v 163 13
v 164 0
v 165 4
v 166 2
v 167 1
v 168 6
v 169 13
v 170 16
v 171 2
v 172 0
v 173 7
v 174 4
v 175 12
v 176 14
v 177 9
v 178 7
v 179 7
v 180 24
v 181 1
v 182 14
e 0 182 0
e 0 170 0
e 1 141 0
e 1 140 0
e 1 123 0
e 1 66 0
e 1 93 0
e 1 44 0
e 1 76 0
e 2 76 0
e 2 78 0
e 2 124 0
e 2 159 0
e 2 137 0
e 2 158 0
e 2 63 0
e 2 168 0
e 2 166 0
e 2 115 0
e 2 148 0
e 2 164 0
e 2 94 0
e 3 45 0
e 4 116 0
e 4 80 0
e 4 76 0
e 5 68 0
e 5 46 0
e 5 47 0
e 6 156 0
e 6 162 0
e 6 167 0
e 6 132 0
e 6 169 0
e 6 174 0
e 6 177 0
e 6 176 0
e 6 178 0
e 6 179 0
e 6 180 0
e 6 78 0
e 6 165 0
e 6 48 0
e 6 130 0
e 6 111 0
e 6 133 0
e 6 49 0
e 7 50 0
e 7 51 0
e 8 170 0
e 8 69 0
e 8 167 0
e 8 173 0
e 8 75 0
e 8 70 0
e 8 52 0
e 9 172 0
e 9 170 0
e 10 114 0
e 11 76 0
e 11 71 0
e 11 53 0
e 12 54 0
e 12 76 0
e 12 89 0
e 13 155 0
e 13 167 0
e 13 145 0
e 14 113 0
e 15 55 0
e 16 114 0
e 16 56 0
e 17 63 0
e 18 140 0
e 18 93 0
e 18 99 0
e 18 108 0
e 19 76 0
e 19 97 0
e 19 84 0
e 19 57 0
e 20 91 0
e 20 121 0
e 20 151 0
e 20 139 0
e 20 76 0
e 20 161 0
e 20 160 0
e 21 136 0
e 21 167 0
e 21 110 0
e 21 76 0
e 23 177 0
e 23 178 0
e 23 176 0
e 24 76 0
e 24 140 0
e 25 76 0
e 25 154 0
e 25 126 0
e 25 143 0
e 25 100 0
e 25 58 0
e 25 59 0
e 26 76 0
e 26 95 0
e 27 76 0
e 29 76 0
e 29 165 0
e 29 60 0
e 31 170 0
e 31 180 0
e 31 181 0
e 31 157 0
e 31 147 0
e 31 182 0
e 32 146 0
e 32 77 0
e 32 76 0
e 33 76 0
e 33 61 0
e 34 62 0
e 35 76 0
e 36 147 0
e 36 118 0
e 37 63 0
e 37 64 0
e 38 160 0
e 39 76 0
e 39 81 0
e 39 117 0
e 39 87 0
e 40 180 0
e 41 65 0
e 42 76 0
e 42 138 0
e 42 71 0
e 42 150 0
e 42 120 0
e 43 78 0
e 43 113 0
e 43 76 0
e 44 140 0
e 44 123 0
e 44 66 0
e 46 67 0
e 47 68 0
e 48 180 0
e 48 165 0
e 48 78 0
e 49 167 0
e 49 162 0
e 49 169 0
e 49 174 0
e 49 177 0
e 49 176 0
e 49 178 0
e 49 179 0
e 49 180 0
e 49 156 0
e 49 130 0
e 49 132 0
e 49 165 0
e 49 145 0
e 49 78 0
e 49 133 0
e 52 170 0
e 52 90 0
e 52 167 0
e 52 75 0
e 52 173 0
e 52 76 0
e 52 69 0
e 52 70 0
e 53 76 0
e 53 89 0
e 53 71 0
e 54 76 0
e 54 89 0
e 54 138 0
e 54 120 0
e 54 150 0
e 56 92 0
e 56 122 0
e 56 72 0
e 57 76 0
e 57 84 0
e 57 97 0
e 58 76 0
e 58 154 0
e 58 126 0
e 58 143 0
e 58 100 0
e 59 154 0
e 59 76 0
e 59 126 0
e 59 143 0
e 59 100 0
e 60 76 0
e 60 165 0
e 61 76 0
e 61 158 0
e 63 76 0
e 63 73 0
e 63 131 0
e 63 124 0
e 63 101 0
e 63 158 0
e 63 169 0
e 63 94 0
e 63 74 0
e 63 111 0
e 63 78 0
e 66 76 0
e 66 141 0
e 66 140 0
e 66 152 0
e 66 123 0
e 66 93 0
e 69 170 0
e 69 75 0
e 70 77 0
e 70 170 0
e 70 173 0
e 70 75 0
e 70 167 0
e 72 113 0
e 73 124 0
e 73 111 0
e 74 76 0
e 74 101 0
e 75 170 0
e 75 173 0
e 75 77 0
e 76 142 0
e 76 125 0
e 76 167 0
e 76 78 0
e 76 135 0
e 76 141 0
e 76 79 0
e 76 80 0
e 76 81 0
e 76 82 0
e 76 149 0
e 76 159 0
e 76 137 0
e 76 115 0
e 76 148 0
e 76 163 0
e 76 129 0
e 76 116 0
e 76 154 0
e 76 143 0
e 76 138 0
e 76 120 0
e 76 150 0
e 76 127 0
e 76 169 0
e 76 171 0
e 76 173 0
e 76 153 0
e 76 165 0
e 76 83 0
e 76 119 0
e 76 84 0
e 76 113 0
e 76 172 0
e 76 85 0
e 76 86 0
e 76 117 0
e 76 118 0
e 76 147 0
e 76 87 0
e 76 158 0
e 76 170 0
e 76 180 0
e 76 181 0
e 76 157 0
e 76 182 0
e 76 88 0
e 76 126 0
e 76 89 0
e 76 144 0
e 76 155 0
e 76 174 0
e 76 90 0
e 76 91 0
e 76 121 0
e 76 161 0
e 76 92 0
e 76 140 0
e 76 93 0
e 76 94 0
e 76 166 0
e 76 168 0
e 76 164 0
e 76 95 0
e 76 151 0
e 76 96 0
e 76 97 0
e 76 128 0
e 76 98 0
e 76 131 0
e 76 145 0
e 76 134 0
e 76 160 0
e 76 111 0
e 76 99 0
e 76 146 0
e 76 123 0
e 76 100 0
e 76 136 0
e 76 124 0
e 76 101 0
e 76 152 0
e 76 102 0
e 76 103 0
e 76 104 0
e 76 105 0
e 76 106 0
e 76 107 0
e 76 108 0
e 76 109 0
e 76 110 0
e 77 146 0
e 78 111 0
e 78 112 0
e 78 113 0
e 78 131 0
e 78 147 0
e 78 114 0
e 78 135 0
e 78 159 0
e 78 137 0
e 78 115 0
e 78 148 0
e 78 168 0
e 78 166 0
e 78 167 0
e 78 169 0
e 78 177 0
e 78 176 0
e 78 178 0
e 78 179 0
e 78 164 0
e 78 174 0
e 78 180 0
e 78 134 0
e 78 165 0
e 78 162 0
e 80 116 0
e 81 117 0
e 82 118 0
e 83 119 0
e 88 182 0
e 88 157 0
e 88 147 0
e 88 170 0
e 88 181 0
e 88 180 0
e 88 134 0
e 89 150 0
e 89 120 0
e 89 138 0
e 91 151 0
e 91 121 0
e 91 161 0
e 92 122 0
e 93 140 0
e 93 141 0
e 93 123 0
e 94 149 0
e 94 159 0
e 94 137 0
e 94 158 0
e 94 124 0
e 96 153 0
e 96 142 0
e 96 125 0
e 98 142 0
e 100 154 0
e 100 126 0
e 100 143 0
e 102 172 0
e 103 144 0
e 103 127 0
e 104 136 0
e 107 172 0
e 107 170 0
e 107 180 0
e 107 181 0
e 107 157 0
e 107 182 0
e 107 147 0
e 108 128 0
e 109 129 0
e 110 136 0
e 110 167 0
e 111 167 0
e 111 130 0
e 111 169 0
e 111 177 0
e 111 176 0
e 111 179 0
e 111 180 0
