t # 0
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0018065 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030358 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0049107 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0021990 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0046292 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042669 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0027865 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Conflict.Attack.DetonateExplode
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044540 Conflict.Attack.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041164 Contact.Contact.Meet
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0039773 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0026718 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0025361 Life.Die.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044425 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030266 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 Justice.TrialHearing.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0004630 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0038875 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0030686 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0016721 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0023931 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044163 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0010808 Movement.Transportation.Evacuation
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 Justice.TrialHearing.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Justice.Convict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Life.Injure.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0036971 Justice.ArrestJailDetain.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 Justice.ChargeIndict.Unspecified
v caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Justice.TrialHearing.Unspecified
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000621 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000984 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0042518 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0017516 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0002019 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0001292 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0041813 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000034 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044089 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0000255 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0048258 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0034164 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0037309 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0007708 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0014720 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0044228 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0018065 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0027865 Temporal_Order
e caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0018065 caci:Schemas/Instantiated/cluster_11/Steps/EN_Event_0049107 Temporal_Order
